PassengerId,Survived,Pclass,Sex,Age,Ticket,Fare,Cabin,Embarked
126,1,3,male,12,2651,11.2417,,C
127,0,3,male,,370372,7.75,,Q
128,1,3,male,24,C 17369,7.1417,,S
129,1,3,female,,2668,22.3583,F E69,C
130,0,3,male,45,347061,6.975,,S
131,0,3,male,33,349241,7.8958,,C
132,0,3,male,20,SOTON/O.Q. 3101307,7.05,,S
133,0,3,female,47,A/5. 3337,14.5,,S
134,1,2,female,29,228414,26,,S
135,0,2,male,25,C.A. 29178,13,,S
136,0,2,male,23,SC/PARIS 2133,15.0458,,C
137,1,1,female,19,11752,26.2833,D47,S
138,0,1,male,37,113803,53.1,C123,S
139,0,3,male,16,7534,9.2167,,S
140,0,1,male,24,PC 17593,79.2,B86,C
141,0,3,female,,2678,15.2458,,C
142,1,3,female,22,347081,7.75,,S
143,1,3,female,24,STON/O2. 3101279,15.85,,S
144,0,3,male,19,365222,6.75,,Q
145,0,2,male,18,231945,11.5,,S
146,0,2,male,19,C.A. 33112,36.75,,S
147,1,3,male,27,350043,7.7958,,S
148,0,3,female,9,W./C. 6608,34.375,,S
149,0,2,male,36.5,230080,26,F2,S
150,0,2,male,42,244310,13,,S
151,0,2,male,51,S.O.P. 1166,12.525,,S
152,1,1,female,22,113776,66.6,C2,S
153,0,3,male,55.5,A.5. 11206,8.05,,S
154,0,3,male,40.5,A/5. 851,14.5,,S
155,0,3,male,,Fa 265302,7.3125,,S
156,0,1,male,51,PC 17597,61.3792,,C
157,1,3,female,16,35851,7.7333,,Q
158,0,3,male,30,SOTON/OQ 392090,8.05,,S
159,0,3,male,,315037,8.6625,,S
160,0,3,male,,CA. 2343,69.55,,S
161,0,3,male,44,371362,16.1,,S
162,1,2,female,40,C.A. 33595,15.75,,S
163,0,3,male,26,347068,7.775,,S
164,0,3,male,17,315093,8.6625,,S
165,0,3,male,1,3101295,39.6875,,S
166,1,3,male,9,363291,20.525,,S
167,1,1,female,,113505,55,E33,S
168,0,3,female,45,347088,27.9,,S
169,0,1,male,,PC 17318,25.925,,S
170,0,3,male,28,1601,56.4958,,S
171,0,1,male,61,111240,33.5,B19,S
172,0,3,male,4,382652,29.125,,Q
173,1,3,female,1,347742,11.1333,,S
174,0,3,male,21,STON/O 2. 3101280,7.925,,S
175,0,1,male,56,17764,30.6958,A7,C
176,0,3,male,18,350404,7.8542,,S
177,0,3,male,,4133,25.4667,,S
178,0,1,female,50,PC 17595,28.7125,C49,C
179,0,2,male,30,250653,13,,S
180,0,3,male,36,LINE,0,,S
181,0,3,female,,CA. 2343,69.55,,S
182,0,2,male,,SC/PARIS 2131,15.05,,C
183,0,3,male,9,347077,31.3875,,S
184,1,2,male,1,230136,39,F4,S
185,1,3,female,4,315153,22.025,,S
186,0,1,male,,113767,50,A32,S
187,1,3,female,,370365,15.5,,Q
188,1,1,male,45,111428,26.55,,S
189,0,3,male,40,364849,15.5,,Q
190,0,3,male,36,349247,7.8958,,S
191,1,2,female,32,234604,13,,S
192,0,2,male,19,28424,13,,S
193,1,3,female,19,350046,7.8542,,S
194,1,2,male,3,230080,26,F2,S
195,1,1,female,44,PC 17610,27.7208,B4,C
196,1,1,female,58,PC 17569,146.5208,B80,C
197,0,3,male,,368703,7.75,,Q
198,0,3,male,42,4579,8.4042,,S
199,1,3,female,,370370,7.75,,Q
200,0,2,female,24,248747,13,,S
201,0,3,male,28,345770,9.5,,S
202,0,3,male,,CA. 2343,69.55,,S
203,0,3,male,34,3101264,6.4958,,S
204,0,3,male,45.5,2628,7.225,,C
205,1,3,male,18,A/5 3540,8.05,,S
206,0,3,female,2,347054,10.4625,G6,S
207,0,3,male,32,3101278,15.85,,S
208,1,3,male,26,2699,18.7875,,C
209,1,3,female,16,367231,7.75,,Q
210,1,1,male,40,112277,31,A31,C
211,0,3,male,24,SOTON/O.Q. 3101311,7.05,,S
212,1,2,female,35,F.C.C. 13528,21,,S
213,0,3,male,22,A/5 21174,7.25,,S
214,0,2,male,30,250646,13,,S
215,0,3,male,,367229,7.75,,Q
216,1,1,female,31,35273,113.275,D36,C
217,1,3,female,27,STON/O2. 3101283,7.925,,S
218,0,2,male,42,243847,27,,S
219,1,1,female,32,11813,76.2917,D15,C
220,0,2,male,30,W/C 14208,10.5,,S
221,1,3,male,16,SOTON/OQ 392089,8.05,,S
222,0,2,male,27,220367,13,,S
223,0,3,male,51,21440,8.05,,S
224,0,3,male,,349234,7.8958,,S
225,1,1,male,38,19943,90,C93,S
226,0,3,male,22,PP 4348,9.35,,S
227,1,2,male,19,SW/PP 751,10.5,,S
228,0,3,male,20.5,A/5 21173,7.25,,S
229,0,2,male,18,236171,13,,S
230,0,3,female,,4133,25.4667,,S
231,1,1,female,35,36973,83.475,C83,S
232,0,3,male,29,347067,7.775,,S
233,0,2,male,59,237442,13.5,,S
234,1,3,female,5,347077,31.3875,,S
235,0,2,male,24,C.A. 29566,10.5,,S
236,0,3,female,,W./C. 6609,7.55,,S
237,0,2,male,44,26707,26,,S
238,1,2,female,8,C.A. 31921,26.25,,S
239,0,2,male,19,28665,10.5,,S
240,0,2,male,33,SCO/W 1585,12.275,,S
241,0,3,female,,2665,14.4542,,C
242,1,3,female,,367230,15.5,,Q
243,0,2,male,29,W./C. 14263,10.5,,S
244,0,3,male,22,STON/O 2. 3101275,7.125,,S
245,0,3,male,30,2694,7.225,,C
246,0,1,male,44,19928,90,C78,Q
247,0,3,female,25,347071,7.775,,S
248,1,2,female,24,250649,14.5,,S
249,1,1,male,37,11751,52.5542,D35,S
250,0,2,male,54,244252,26,,S
251,0,3,male,,362316,7.25,,S
252,0,3,female,29,347054,10.4625,G6,S
253,0,1,male,62,113514,26.55,C87,S
254,0,3,male,30,A/5. 3336,16.1,,S
255,0,3,female,41,370129,20.2125,,S
256,1,3,female,29,2650,15.2458,,C
257,1,1,female,,PC 17585,79.2,,C
258,1,1,female,30,110152,86.5,B77,S
259,1,1,female,35,PC 17755,512.3292,,C
260,1,2,female,50,230433,26,,S
261,0,3,male,,384461,7.75,,Q
262,1,3,male,3,347077,31.3875,,S
263,0,1,male,52,110413,79.65,E67,S
264,0,1,male,40,112059,0,B94,S
265,0,3,female,,382649,7.75,,Q
266,0,2,male,36,C.A. 17248,10.5,,S
267,0,3,male,16,3101295,39.6875,,S
268,1,3,male,25,347083,7.775,,S
269,1,1,female,58,PC 17582,153.4625,C125,S
270,1,1,female,35,PC 17760,135.6333,C99,S
271,0,1,male,,113798,31,,S
272,1,3,male,25,LINE,0,,S
273,1,2,female,41,250644,19.5,,S
274,0,1,male,37,PC 17596,29.7,C118,C
275,1,3,female,,370375,7.75,,Q
276,1,1,female,63,13502,77.9583,D7,S
277,0,3,female,45,347073,7.75,,S
278,0,2,male,,239853,0,,S
279,0,3,male,7,382652,29.125,,Q
280,1,3,female,35,C.A. 2673,20.25,,S
281,0,3,male,65,336439,7.75,,Q
282,0,3,male,28,347464,7.8542,,S
283,0,3,male,16,345778,9.5,,S
284,1,3,male,19,A/5. 10482,8.05,,S
285,0,1,male,,113056,26,A19,S
286,0,3,male,33,349239,8.6625,,C
287,1,3,male,30,345774,9.5,,S
288,0,3,male,22,349206,7.8958,,S
289,1,2,male,42,237798,13,,S
290,1,3,female,22,370373,7.75,,Q
291,1,1,female,26,19877,78.85,,S
292,1,1,female,19,11967,91.0792,B49,C
293,0,2,male,36,SC/Paris 2163,12.875,D,C
294,0,3,female,24,349236,8.85,,S
295,0,3,male,24,349233,7.8958,,S
296,0,1,male,,PC 17612,27.7208,,C
297,0,3,male,23.5,2693,7.2292,,C
298,0,1,female,2,113781,151.55,C22 C26,S
299,1,1,male,,19988,30.5,C106,S
300,1,1,female,50,PC 17558,247.5208,B58 B60,C
301,1,3,female,,9234,7.75,,Q
302,1,3,male,,367226,23.25,,Q
303,0,3,male,19,LINE,0,,S
304,1,2,female,,226593,12.35,E101,Q
305,0,3,male,,A/5 2466,8.05,,S
306,1,1,male,0.92,113781,151.55,C22 C26,S
307,1,1,female,,17421,110.8833,,C
308,1,1,female,17,PC 17758,108.9,C65,C
309,0,2,male,30,P/PP 3381,24,,C
310,1,1,female,30,PC 17485,56.9292,E36,C
311,1,1,female,24,11767,83.1583,C54,C
312,1,1,female,18,PC 17608,262.375,B57 B59 B63 B66,C
313,0,2,female,26,250651,26,,S
314,0,3,male,28,349243,7.8958,,S
315,0,2,male,43,F.C.C. 13529,26.25,,S
316,1,3,female,26,347470,7.8542,,S
317,1,2,female,24,244367,26,,S
318,0,2,male,54,29011,14,,S
319,1,1,female,31,36928,164.8667,C7,S
320,1,1,female,40,16966,134.5,E34,C
321,0,3,male,22,A/5 21172,7.25,,S
322,0,3,male,27,349219,7.8958,,S
323,1,2,female,30,234818,12.35,,Q
324,1,2,female,22,248738,29,,S
325,0,3,male,,CA. 2343,69.55,,S
326,1,1,female,36,PC 17760,135.6333,C32,C
327,0,3,male,61,345364,6.2375,,S
328,1,2,female,36,28551,13,D,S
329,1,3,female,31,363291,20.525,,S
330,1,1,female,16,111361,57.9792,B18,C
331,1,3,female,,367226,23.25,,Q
332,0,1,male,45.5,113043,28.5,C124,S
333,0,1,male,38,PC 17582,153.4625,C91,S
334,0,3,male,16,345764,18,,S
335,1,1,female,,PC 17611,133.65,,S
336,0,3,male,,349225,7.8958,,S
337,0,1,male,29,113776,66.6,C2,S
338,1,1,female,41,16966,134.5,E40,C
339,1,3,male,45,7598,8.05,,S
340,0,1,male,45,113784,35.5,T,S
341,1,2,male,2,230080,26,F2,S
342,1,1,female,24,19950,263,C23 C25 C27,S
343,0,2,male,28,248740,13,,S
344,0,2,male,25,244361,13,,S
345,0,2,male,36,229236,13,,S
346,1,2,female,24,248733,13,F33,S
347,1,2,female,40,31418,13,,S
348,1,3,female,,386525,16.1,,S
349,1,3,male,3,C.A. 37671,15.9,,S
350,0,3,male,42,315088,8.6625,,S
351,0,3,male,23,7267,9.225,,S
352,0,1,male,,113510,35,C128,S
353,0,3,male,15,2695,7.2292,,C
354,0,3,male,25,349237,17.8,,S
355,0,3,male,,2647,7.225,,C
356,0,3,male,28,345783,9.5,,S
357,1,1,female,22,113505,55,E33,S
358,0,2,female,38,237671,13,,S
359,1,3,female,,330931,7.8792,,Q
360,1,3,female,,330980,7.8792,,Q
361,0,3,male,40,347088,27.9,,S
362,0,2,male,29,SC/PARIS 2167,27.7208,,C
363,0,3,female,45,2691,14.4542,,C
364,0,3,male,35,SOTON/O.Q. 3101310,7.05,,S
365,0,3,male,,370365,15.5,,Q
366,0,3,male,30,C 7076,7.25,,S
367,1,1,female,60,110813,75.25,D37,C
368,1,3,female,,2626,7.2292,,C
369,1,3,female,,14313,7.75,,Q
370,1,1,female,24,PC 17477,69.3,B35,C
371,1,1,male,25,11765,55.4417,E50,C
372,0,3,male,18,3101267,6.4958,,S
373,0,3,male,19,323951,8.05,,S
374,0,1,male,22,PC 17760,135.6333,,C
375,0,3,female,3,349909,21.075,,S
376,1,1,female,,PC 17604,82.1708,,C
377,1,3,female,22,C 7077,7.25,,S
378,0,1,male,27,113503,211.5,C82,C
379,0,3,male,20,2648,4.0125,,C
380,0,3,male,19,347069,7.775,,S
381,1,1,female,42,PC 17757,227.525,,C
382,1,3,female,1,2653,15.7417,,C
383,0,3,male,32,STON/O 2. 3101293,7.925,,S
384,1,1,female,35,113789,52,,S
385,0,3,male,,349227,7.8958,,S
386,0,2,male,18,S.O.C. 14879,73.5,,S
387,0,3,male,1,CA 2144,46.9,,S
388,1,2,female,36,27849,13,,S
389,0,3,male,,367655,7.7292,,Q
390,1,2,female,17,SC 1748,12,,C
391,1,1,male,36,113760,120,B96 B98,S
392,1,3,male,21,350034,7.7958,,S
393,0,3,male,28,3101277,7.925,,S
394,1,1,female,23,35273,113.275,D36,C
395,1,3,female,24,PP 9549,16.7,G6,S
396,0,3,male,22,350052,7.7958,,S
397,0,3,female,31,350407,7.8542,,S
398,0,2,male,46,28403,26,,S
399,0,2,male,23,244278,10.5,,S
400,1,2,female,28,240929,12.65,,S
401,1,3,male,39,STON/O 2. 3101289,7.925,,S
402,0,3,male,26,341826,8.05,,S
403,0,3,female,21,4137,9.825,,S
404,0,3,male,28,STON/O2. 3101279,15.85,,S
405,0,3,female,20,315096,8.6625,,S
406,0,2,male,34,28664,21,,S
407,0,3,male,51,347064,7.75,,S
408,1,2,male,3,29106,18.75,,S
409,0,3,male,21,312992,7.775,,S
410,0,3,female,,4133,25.4667,,S
411,0,3,male,,349222,7.8958,,S
412,0,3,male,,394140,6.8583,,Q
413,1,1,female,33,19928,90,C78,Q
414,0,2,male,,239853,0,,S
415,1,3,male,44,STON/O 2. 3101269,7.925,,S
416,0,3,female,,343095,8.05,,S
417,1,2,female,34,28220,32.5,,S
418,1,2,female,18,250652,13,,S
419,0,2,male,30,28228,13,,S
420,0,3,female,10,345773,24.15,,S
421,0,3,male,,349254,7.8958,,C
422,0,3,male,21,A/5. 13032,7.7333,,Q
423,0,3,male,29,315082,7.875,,S
424,0,3,female,28,347080,14.4,,S
425,0,3,male,18,370129,20.2125,,S
426,0,3,male,,A/4. 34244,7.25,,S
427,1,2,female,28,2003,26,,S
428,1,2,female,19,250655,26,,S
429,0,3,male,,364851,7.75,,Q
430,1,3,male,32,SOTON/O.Q. 392078,8.05,E10,S
431,1,1,male,28,110564,26.55,C52,S
432,1,3,female,,376564,16.1,,S
433,1,2,female,42,SC/AH 3085,26,,S
434,0,3,male,17,STON/O 2. 3101274,7.125,,S
435,0,1,male,50,13507,55.9,E44,S
436,1,1,female,14,113760,120,B96 B98,S
437,0,3,female,21,W./C. 6608,34.375,,S
438,1,2,female,24,29106,18.75,,S
439,0,1,male,64,19950,263,C23 C25 C27,S
440,0,2,male,31,C.A. 18723,10.5,,S
441,1,2,female,45,F.C.C. 13529,26.25,,S
442,0,3,male,20,345769,9.5,,S
443,0,3,male,25,347076,7.775,,S
444,1,2,female,28,230434,13,,S
445,1,3,male,,65306,8.1125,,S
446,1,1,male,4,33638,81.8583,A34,S
447,1,2,female,13,250644,19.5,,S
448,1,1,male,34,113794,26.55,,S
449,1,3,female,5,2666,19.2583,,C
450,1,1,male,52,113786,30.5,C104,S
451,0,2,male,36,C.A. 34651,27.75,,S
452,0,3,male,,65303,19.9667,,S
453,0,1,male,30,113051,27.75,C111,C
454,1,1,male,49,17453,89.1042,C92,C
455,0,3,male,,A/5 2817,8.05,,S
456,1,3,male,29,349240,7.8958,,C
457,0,1,male,65,13509,26.55,E38,S
458,1,1,female,,17464,51.8625,D21,S
459,1,2,female,50,F.C.C. 13531,10.5,,S
460,0,3,male,,371060,7.75,,Q
461,1,1,male,48,19952,26.55,E12,S
462,0,3,male,34,364506,8.05,,S
463,0,1,male,47,111320,38.5,E63,S
464,0,2,male,48,234360,13,,S
465,0,3,male,,A/S 2816,8.05,,S
466,0,3,male,38,SOTON/O.Q. 3101306,7.05,,S
467,0,2,male,,239853,0,,S
468,0,1,male,56,113792,26.55,,S
469,0,3,male,,36209,7.725,,Q
470,1,3,female,0.75,2666,19.2583,,C
471,0,3,male,,323592,7.25,,S
472,0,3,male,38,315089,8.6625,,S
473,1,2,female,33,C.A. 34651,27.75,,S
474,1,2,female,23,SC/AH Basle 541,13.7917,D,C
475,0,3,female,22,7553,9.8375,,S
476,0,1,male,,110465,52,A14,S
477,0,2,male,34,31027,21,,S
478,0,3,male,29,3460,7.0458,,S
479,0,3,male,22,350060,7.5208,,S
480,1,3,female,2,3101298,12.2875,,S
481,0,3,male,9,CA 2144,46.9,,S
482,0,2,male,,239854,0,,S
483,0,3,male,50,A/5 3594,8.05,,S
484,1,3,female,63,4134,9.5875,,S
485,1,1,male,25,11967,91.0792,B49,C
486,0,3,female,,4133,25.4667,,S
487,1,1,female,35,19943,90,C93,S
488,0,1,male,58,11771,29.7,B37,C
489,0,3,male,30,A.5. 18509,8.05,,S
490,1,3,male,9,C.A. 37671,15.9,,S
491,0,3,male,,65304,19.9667,,S
492,0,3,male,21,SOTON/OQ 3101317,7.25,,S
493,0,1,male,55,113787,30.5,C30,S
494,0,1,male,71,PC 17609,49.5042,,C
495,0,3,male,21,A/4 45380,8.05,,S
496,0,3,male,,2627,14.4583,,C
497,1,1,female,54,36947,78.2667,D20,C
498,0,3,male,,C.A. 6212,15.1,,S
499,0,1,female,25,113781,151.55,C22 C26,S
500,0,3,male,24,350035,7.7958,,S
501,0,3,male,17,315086,8.6625,,S
502,0,3,female,21,364846,7.75,,Q
503,0,3,female,,330909,7.6292,,Q
504,0,3,female,37,4135,9.5875,,S
505,1,1,female,16,110152,86.5,B79,S
506,0,1,male,18,PC 17758,108.9,C65,C
507,1,2,female,33,26360,26,,S
508,1,1,male,,111427,26.55,,S
509,0,3,male,28,C 4001,22.525,,S
510,1,3,male,26,1601,56.4958,,S
511,1,3,male,29,382651,7.75,,Q
512,0,3,male,,SOTON/OQ 3101316,8.05,,S
513,1,1,male,36,PC 17473,26.2875,E25,S
514,1,1,female,54,PC 17603,59.4,,C
515,0,3,male,24,349209,7.4958,,S
516,0,1,male,47,36967,34.0208,D46,S
517,1,2,female,34,C.A. 34260,10.5,F33,S
518,0,3,male,,371110,24.15,,Q
519,1,2,female,36,226875,26,,S
520,0,3,male,32,349242,7.8958,,S
521,1,1,female,30,12749,93.5,B73,S
522,0,3,male,22,349252,7.8958,,S
523,0,3,male,,2624,7.225,,C
524,1,1,female,44,111361,57.9792,B18,C
525,0,3,male,,2700,7.2292,,C
526,0,3,male,40.5,367232,7.75,,Q
527,1,2,female,50,W./C. 14258,10.5,,S
528,0,1,male,,PC 17483,221.7792,C95,S
529,0,3,male,39,3101296,7.925,,S
530,0,2,male,23,29104,11.5,,S
531,1,2,female,2,26360,26,,S
532,0,3,male,,2641,7.2292,,C
533,0,3,male,17,2690,7.2292,,C
534,1,3,female,,2668,22.3583,,C
535,0,3,female,30,315084,8.6625,,S
536,1,2,female,7,F.C.C. 13529,26.25,,S
537,0,1,male,45,113050,26.55,B38,S
538,1,1,female,30,PC 17761,106.425,,C
539,0,3,male,,364498,14.5,,S
540,1,1,female,22,13568,49.5,B39,C
541,1,1,female,36,WE/P 5735,71,B22,S
542,0,3,female,9,347082,31.275,,S
543,0,3,female,11,347082,31.275,,S
544,1,2,male,32,2908,26,,S
545,0,1,male,50,PC 17761,106.425,C86,C
546,0,1,male,64,693,26,,S
547,1,2,female,19,2908,26,,S
548,1,2,male,,SC/PARIS 2146,13.8625,,C
549,0,3,male,33,363291,20.525,,S
550,1,2,male,8,C.A. 33112,36.75,,S
551,1,1,male,17,17421,110.8833,C70,C
552,0,2,male,27,244358,26,,S
553,0,3,male,,330979,7.8292,,Q
554,1,3,male,22,2620,7.225,,C
555,1,3,female,22,347085,7.775,,S
556,0,1,male,62,113807,26.55,,S
557,1,1,female,48,11755,39.6,A16,C
558,0,1,male,,PC 17757,227.525,,C
559,1,1,female,39,110413,79.65,E67,S
560,1,3,female,36,345572,17.4,,S
561,0,3,male,,372622,7.75,,Q
562,0,3,male,40,349251,7.8958,,S
563,0,2,male,28,218629,13.5,,S
564,0,3,male,,SOTON/OQ 392082,8.05,,S
565,0,3,female,,SOTON/O.Q. 392087,8.05,,S
566,0,3,male,24,A/4 48871,24.15,,S
567,0,3,male,19,349205,7.8958,,S
568,0,3,female,29,349909,21.075,,S
569,0,3,male,,2686,7.2292,,C
570,1,3,male,32,350417,7.8542,,S
571,1,2,male,62,S.W./PP 752,10.5,,S
572,1,1,female,53,11769,51.4792,C101,S
573,1,1,male,36,PC 17474,26.3875,E25,S
574,1,3,female,,14312,7.75,,Q
575,0,3,male,16,A/4. 20589,8.05,,S
576,0,3,male,19,358585,14.5,,S
577,1,2,female,34,243880,13,,S
578,1,1,female,39,13507,55.9,E44,S
579,0,3,female,,2689,14.4583,,C
580,1,3,male,32,STON/O 2. 3101286,7.925,,S
581,1,2,female,25,237789,30,,S
582,1,1,female,39,17421,110.8833,C68,C
583,0,2,male,54,28403,26,,S
584,0,1,male,36,13049,40.125,A10,C
585,0,3,male,,3411,8.7125,,C
586,1,1,female,18,110413,79.65,E68,S
587,0,2,male,47,237565,15,,S
588,1,1,male,60,13567,79.2,B41,C
589,0,3,male,22,14973,8.05,,S
590,0,3,male,,A./5. 3235,8.05,,S
591,0,3,male,35,STON/O 2. 3101273,7.125,,S
592,1,1,female,52,36947,78.2667,D20,C
593,0,3,male,47,A/5 3902,7.25,,S
594,0,3,female,,364848,7.75,,Q
595,0,2,male,37,SC/AH 29037,26,,S
596,0,3,male,36,345773,24.15,,S
597,1,2,female,,248727,33,,S
598,0,3,male,49,LINE,0,,S
599,0,3,male,,2664,7.225,,C
600,1,1,male,49,PC 17485,56.9292,A20,C
601,1,2,female,24,243847,27,,S
602,0,3,male,,349214,7.8958,,S
603,0,1,male,,113796,42.4,,S
604,0,3,male,44,364511,8.05,,S
605,1,1,male,35,111426,26.55,,C
606,0,3,male,36,349910,15.55,,S
607,0,3,male,30,349246,7.8958,,S
608,1,1,male,27,113804,30.5,,S
609,1,2,female,22,SC/Paris 2123,41.5792,,C
610,1,1,female,40,PC 17582,153.4625,C125,S
611,0,3,female,39,347082,31.275,,S
612,0,3,male,,SOTON/O.Q. 3101305,7.05,,S
613,1,3,female,,367230,15.5,,Q
614,0,3,male,,370377,7.75,,Q
615,0,3,male,35,364512,8.05,,S
616,1,2,female,24,220845,65,,S
617,0,3,male,34,347080,14.4,,S
618,0,3,female,26,A/5. 3336,16.1,,S
619,1,2,female,4,230136,39,F4,S
620,0,2,male,26,31028,10.5,,S
621,0,3,male,27,2659,14.4542,,C
622,1,1,male,42,11753,52.5542,D19,S
623,1,3,male,20,2653,15.7417,,C
624,0,3,male,21,350029,7.8542,,S
625,0,3,male,21,54636,16.1,,S
626,0,1,male,61,36963,32.3208,D50,S
627,0,2,male,57,219533,12.35,,Q
628,1,1,female,21,13502,77.9583,D9,S
629,0,3,male,26,349224,7.8958,,S
630,0,3,male,,334912,7.7333,,Q
631,1,1,male,80,27042,30,A23,S
632,0,3,male,51,347743,7.0542,,S
633,1,1,male,32,13214,30.5,B50,C
634,0,1,male,,112052,0,,S
635,0,3,female,9,347088,27.9,,S
636,1,2,female,28,237668,13,,S
